name,city,code,day of week,start time hour,start time minute,endhour,endminute
1 Abercrombie Lane,Sydney,,0,07,30,15,30
1 Abercrombie Lane,Sydney,,1,07,30,15,30
1 Abercrombie Lane,Sydney,,2,07,30,15,30
1 Abercrombie Lane,Sydney,,3,07,30,15,30
1 Abercrombie Lane,Sydney,,4,07,30,15,30
#1 Chicken Rice & Seafood,Houston,,0,10,30,20,30
#1 Chicken Rice & Seafood,Houston,,1,10,30,20,30
#1 Chicken Rice & Seafood,Houston,,2,10,30,20,30
#1 Chicken Rice & Seafood,Houston,,3,10,30,20,30
#1 Chicken Rice & Seafood,Houston,,4,10,30,20,30
#1 Chicken Rice & Seafood,Houston,,5,10,30,20,00
#1 Chinese Kitchen,San Jose,,0,11,00,21,00
#1 Chinese Kitchen,San Jose,,2,11,00,21,00
#1 Chinese Kitchen,San Jose,,3,11,00,21,00
#1 Chinese Kitchen,San Jose,,4,11,00,21,00
#1 Chinese Kitchen,San Jose,,5,11,00,21,00
#1 Chinese Kitchen,San Jose,,6,11,00,21,00
10' Custom Pizzeria,Braddon,,0,11,30,15,00
10' Custom Pizzeria,Braddon,,0,17,30,00,00
10' Custom Pizzeria,Braddon,,1,11,30,15,00
10' Custom Pizzeria,Braddon,,1,17,30,00,00
10' Custom Pizzeria,Braddon,,2,11,30,15,00
10' Custom Pizzeria,Braddon,,2,17,30,00,00
10' Custom Pizzeria,Braddon,,3,11,30,15,00
10' Custom Pizzeria,Braddon,,3,17,30,00,00
10' Custom Pizzeria,Braddon,,4,11,30,15,00
10' Custom Pizzeria,Braddon,,4,17,30,00,00
10' Custom Pizzeria,Braddon,,5,11,30,15,00
10' Custom Pizzeria,Braddon,,5,17,30,00,00
10' Custom Pizzeria,Braddon,,6,11,30,15,00
10' Custom Pizzeria,Braddon,,6,17,30,00,00
10 Greek Street,London,,0,12,00,23,30
10 Greek Street,London,,1,12,00,23,30
10 Greek Street,London,,2,12,00,23,30
10 Greek Street,London,,3,12,00,23,30
10 Greek Street,London,,4,12,00,23,30
10 Greek Street,London,,5,12,00,23,30
10 Greek Street,London,,6,17,30,23,00
100% de Agave,Denver,,0,11,00,22,00
100% de Agave,Denver,,1,11,00,22,00
100% de Agave,Denver,,2,11,00,22,00
100% de Agave,Denver,,3,11,00,22,00
100% de Agave,Denver,,4,11,00,23,00
100% de Agave,Denver,,5,11,00,23,00
100% de Agave,Denver,,6,11,00,22,00
100 Hoxton,London,,1,11,00,00,00
100 Hoxton,London,,2,11,00,00,00
100 Hoxton,London,,3,11,00,00,00
100 Hoxton,London,,4,11,00,00,00
100 Hoxton,London,,5,11,00,00,00
100 Hoxton,London,,6,11,00,00,00
11 Inch Pizza,Melbourne,,0,11,00,21,30
11 Inch Pizza,Melbourne,,1,11,00,21,30
11 Inch Pizza,Melbourne,,2,11,00,21,30
11 Inch Pizza,Melbourne,,3,11,00,21,30
11 Inch Pizza,Melbourne,,4,11,00,21,30
11 Inch Pizza,Melbourne,,5,16,30,21,30
11 Inch Pizza,Melbourne,,6,16,30,21,30
111 by Nico,Glasgow,,1,12,00,14,30
111 by Nico,Glasgow,,1,17,00,22,00
111 by Nico,Glasgow,,2,12,00,14,30
111 by Nico,Glasgow,,2,17,00,22,00
111 by Nico,Glasgow,,3,12,00,14,30
111 by Nico,Glasgow,,3,17,00,22,00
111 by Nico,Glasgow,,4,12,00,14,30
111 by Nico,Glasgow,,4,17,00,22,00
111 by Nico,Glasgow,,5,12,00,22,00
111 by Nico,Glasgow,,6,12,00,21,00
127 Bar and Bistro,Brisbane,,0,06,30,21,00
127 Bar and Bistro,Brisbane,,1,06,30,21,00
127 Bar and Bistro,Brisbane,,2,06,30,21,00
127 Bar and Bistro,Brisbane,,3,06,30,21,00
127 Bar and Bistro,Brisbane,,4,06,30,21,00
127 Bar and Bistro,Brisbane,,5,07,00,11,00
127 Bar and Bistro,Brisbane,,5,15,00,21,00
127 Bar and Bistro,Brisbane,,6,07,00,11,00
13 North Grille,Phoenix,,0,11,00,21,00
13 North Grille,Phoenix,,1,11,00,21,00
13 North Grille,Phoenix,,2,11,00,21,00
13 North Grille,Phoenix,,3,11,00,21,00
13 North Grille,Phoenix,,4,11,00,22,00
13 North Grille,Phoenix,,5,08,30,22,00
13 North Grille,Phoenix,,6,08,30,21,00
13th Note,Glasgow,,0,12,00,00,00
13th Note,Glasgow,,1,12,00,00,00
13th Note,Glasgow,,2,12,00,00,00
13th Note,Glasgow,,3,12,00,00,00
13th Note,Glasgow,,4,12,00,00,00
13th Note,Glasgow,,5,12,00,00,00
13th Note,Glasgow,,6,12,00,00,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,0,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,1,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,2,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,3,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,4,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,5,08,00,22,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,,6,08,00,22,00
163 Vietnamese Sandwiches & Bubble Tea,Boston,,0,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,1,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,2,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,3,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,4,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,5,07,30,19,30
163 Vietnamese Sandwiches & Bubble Tea,Boston,,6,07,30,19,30
1760,San Francisco,,0,17,00,22,00
1760,San Francisco,,1,17,00,22,00
1760,San Francisco,,2,17,00,22,00
1760,San Francisco,,3,17,00,22,00
1760,San Francisco,,4,17,00,23,00
1760,San Francisco,,5,11,00,14,30
1760,San Francisco,,5,17,00,23,00
1760,San Francisco,,6,11,00,14,30
1760,San Francisco,,6,17,00,22,00
1806,Melbourne,,0,17,00,01,00
1806,Melbourne,,1,17,00,01,00
1806,Melbourne,,2,17,00,01,00
1806,Melbourne,,3,17,00,01,00
1806,Melbourne,,4,16,00,01,00
1806,Melbourne,,5,17,00,03,00
1806,Melbourne,,6,18,00,01,00
1907 Restaurant,Perth,,1,11,00,15,00
1907 Restaurant,Perth,,1,18,00,00,00
1907 Restaurant,Perth,,2,11,00,15,00
1907 Restaurant,Perth,,2,18,00,00,00
1907 Restaurant,Perth,,3,11,00,15,00
1907 Restaurant,Perth,,3,18,00,00,00
1907 Restaurant,Perth,,4,11,00,15,00
1907 Restaurant,Perth,,4,18,00,00,00
1907 Restaurant,Perth,,5,11,00,15,00
1907 Restaurant,Perth,,5,18,00,00,00
1912 Dining Bar,Sydney,,0,16,00,00,00
1912 Dining Bar,Sydney,,1,16,00,00,00
1912 Dining Bar,Sydney,,2,16,00,00,00
1912 Dining Bar,Sydney,,3,16,00,00,00
1912 Dining Bar,Sydney,,4,16,00,00,00
1912 Dining Bar,Sydney,,5,16,00,00,00
1917 American Bistro,Detroit,,0,10,00,23,00
1917 American Bistro,Detroit,,1,10,00,23,00
1917 American Bistro,Detroit,,2,10,00,23,00
1917 American Bistro,Detroit,,3,10,00,23,00
1917 American Bistro,Detroit,,4,10,00,23,00
1917 American Bistro,Detroit,,5,10,00,23,00
1917 American Bistro,Detroit,,6,10,00,20,00
2 Amys Neapolitan Pizzeria,Washington,,0,17,00,22,00
2 Amys Neapolitan Pizzeria,Washington,,1,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,,2,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,,3,11,00,22,00
2 Amys Neapolitan Pizzeria,Washington,,4,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,,5,11,00,23,00
2 Amys Neapolitan Pizzeria,Washington,,6,12,00,22,00
20 Spot,San Francisco,,0,17,00,01,00
