rank,word,frequency
1,the,251
2,and,159
3,of,153
4,to,118
5,our,68
6,that,67
7,we,63
8,a,61
9,in,56
10,is,43
11,which,40
12,be,35
13,for,35
14,this,34
15,on,32
16,with,30
17,it,30
18,will,29
19,have,28
20,by,28
21,i,26
22,are,25
23,as,25
24,us,24
25,my,24
26,but,23
27,can,22
28,they,20
29,not,20
30,has,19
31,you,19
32,every,17
33,who,17
34,or,16
35,no,15
36,been,15
37,those,14
38,nation,14
39,than,14
40,more,13
41,their,13
42,an,13
43,all,12
44,its,12
45,your,12
46,these,12
47,so,12
48,from,12
49,new,12
50,must,11
51,people,11
52,government,11
53,at,10
54,less,10
55,may,9
56,too,9
57,was,9
58,what,8
59,me,8
60,because,8
61,when,8
62,america,8
63,time,7
64,now,7
65,day,7
66,nor,7
67,let,7
68,world,7
69,country,7
70,do,7
71,between,6
72,common,6
73,his,6
74,today,6
75,shall,6
76,united,6
77,one,6
78,there,6
79,most,6
80,public,6
81,work,6
82,them,6
83,cannot,6
84,only,5
85,good,5
86,meet,5
87,future,5
88,some,5
89,men,5
90,present,5
91,power,5
92,generation,5
93,over,5
94,under,5
95,far,5
96,just,5
97,citizens,5
98,spirit,5
99,before,5
100,know,5
101,crisis,5
102,greater,5
103,long,4
104,women,4
105,happiness,4
106,nations,4
107,economy,4
108,never,4
109,trust,4
110,ought,4
111,words,4
112,hand,4
113,life,4
114,being,4
115,success,4
116,through,4
117,free,4
118,duty,4
119,up,4
120,without,4
121,myself,4
122,since,4
123,whether,4
124,prosperity,4
125,great,4
126,might,4
127,once,4
128,hope,4
129,well,4
130,american,4
131,could,4
132,come,4
133,seek,4
134,peace,4
135,end,4
136,question,4
137,many,4
138,confidence,4
139,out,3
140,service,3
141,forward,3
142,generations,3
143,hard,3
144,themselves,3
145,take,3
146,how,3
147,assure,3
148,carried,3
149,charter,3
150,god,3
151,then,3
152,such,3
153,nature,3
154,virtue,3
155,whose,3
156,say,3
157,way,3
158,small,3
159,history,3
160,old,3
161,jobs,3
162,were,3
163,fellow,3
164,ourselves,3
165,given,3
166,light,3
167,liberty,3
168,remain,3
169,states,3
170,system,3
171,force,3
172,conflict,3
173,oath,3
174,journey,3
175,where,3
176,earth,3
177,again,3
178,into,3
179,rather,3
180,former,3
181,man,3
182,americans,3
183,health,3
184,freedom,3
185,duties,3
186,humble,3
187,across,3
188,courage,3
189,still,3
190,subject,3
191,birth,3
192,father,3
193,ideals,3
194,task,3
195,care,3
196,last,3
197,upon,3
198,measures,3
199,moment,3
200,he,3
201,things,3
202,also,2
203,faith,2
204,stronger,2
205,station,2
206,destiny,2
207,extend,2
208,particular,2
209,established,2
210,revolution,2
211,gift,2
212,hands,2
213,wealth,2
214,promise,2
215,defense,2
216,bless,2
217,sentiments,2
218,return,2
219,path,2
220,required,2
221,race,2
222,heaven,2
223,dare,2
224,why,2
225,something,2
226,year,2
227,love,2
228,greatness,2
229,security,2
230,administration,2
231,traveled,2
232,necessary,2
233,retreat,2
234,winter,2
235,knowledge,2
236,opportunities,2
237,use,2
238,lower,2
239,back,2
240,each,2
241,human,2
242,done,2
243,friend,2
244,prosperous,2
245,meaning,2
246,judge,2
247,big,2
248,itself,2
249,month,2
250,waters,2
251,other,2
252,faithful,2
253,even,2
254,willing,2
255,nothing,2
256,lines,2
257,side,2
258,regard,2
259,local,2
260,icy,2
261,remember,2
262,war,2
263,afford,2
264,decline,2
265,patriotism,2
266,would,2
267,willingness,2
268,house,2
269,deliberations,2
270,rules,2
271,civil,2
272,enduring,2
273,faced,2
274,immutable,2
275,build,2
276,true,2
277,if,2
278,ambitions,2
279,during,2
280,hours,2
281,era,2
282,guided,2
283,pecuniary,2
284,age,2
285,passed,2
286,instead,2
287,influence,2
288,together,2
289,policy,2
290,principles,2
291,fail,2
292,off,2
293,west,2
294,throughout,2
295,cooperation,2
296,challenges,2
297,views,2
298,mutual,2
299,brings,2
300,minds,2
301,finally,2
302,against,2
303,voice,2
304,calls,2
305,interests,2
306,governments,2
307,liberties,2
308,impressions,2
309,years,2
310,feed,2
311,understand,2
312,act,2
313,grateful,2
314,often,2
315,article,2
316,find,2
317,rights,2
318,answer,2
319,begin,2
320,workers,2
321,communities,2
322,union,2
323,children,2
324,private,2
325,surest,2
326,forth,2
327,stand,2
328,remembrance,2
329,restore,2
330,further,2
331,like,2
332,qualifications,2
333,character,2
334,schools,2
335,official,2
336,child,2
337,event,2
338,did,2
339,chosen,2
340,safely,2
341,brave,2
342,place,2
343,much,2
344,false,2
345,part,2
346,play,2
347,understood,2
348,market,2
349,own,2
350,blood,2
351,sacred,2
352,fear,2
353,executive,2
354,make,2
355,respect,2
356,peculiarly,2
357,grows,2
358,thank,2
359,purpose,2
360,face,2
361,circumstances,2
362,rendered,2
363,objects,2
364,join,2
365,met,2
366,gratitude,2
367,department,2
368,order,2
369,first,2
370,longer,2
371,cares,2
372,better,2
373,planet,2
374,providential,2
375,storms,2
376,representatives,2
377,yet,2
378,share,2
379,founding,2
380,short,2
381,leave,2
382,taken,2
383,give,2
384,defining,2
385,president,2
386,foundation,2
387,expedient,2
388,eye,2
389,americas,2
390,equal,2
391,filled,2
392,adopt,1
393,presage,1
394,tempering,1
395,command,1
396,sacrificed,1
397,alliances,1
398,swill,1
399,bound,1
400,supplication,1
401,fallen,1
402,ours,1
403,divine,1
404,loyalty,1
405,either,1
406,allotted,1
407,author,1
408,resorting,1
409,wisely,1
410,muslims,1
411,submitted,1
412,domestic,1
413,addition,1
414,laid,1
415,fixed,1
416,hardearned,1
417,route,1
418,conscious,1
419,ordered,1
420,shuttered,1
421,cut,1
422,deserve,1
423,judged,1
424,flourish,1
425,size,1
426,wrong,1
427,dispositions,1
428,execute,1
429,anxieties,1
430,instrument,1
431,tranquil,1
432,unpleasant,1
433,shown,1
434,wisest,1
435,fame,1
436,beneath,1
437,estimates,1
438,friends,1
439,humility,1
440,indifference,1
441,reveal,1
442,sapping,1
443,collective,1
444,grandest,1
445,honorable,1
446,waver,1
447,deciding,1
448,justness,1
449,awaken,1
450,fought,1
451,relies,1
452,sweatshops,1
453,wornout,1
454,pledge,1
455,prepare,1
456,keepers,1
457,nuclear,1
458,humanity,1
459,difficult,1
460,raw,1
461,carefully,1
462,undiminished,1
463,tasted,1
464,documents,1
465,recommend,1
466,unfolds,1
467,dangers,1
468,asylum,1
469,reject,1
470,swayed,1
471,product,1
472,born,1
